acc_year,dev_year,cumulative,incremental
1,1,41821,41821
1,2,76550,34729
1,3,96697,20147
1,4,112662,15965
1,5,123947,11285
1,6,129871,5924
1,7,134646,4775
1,8,138388,3742
1,9,141823,3435
1,10,144781,2958
2,1,48167,48167
2,2,87662,39495
2,3,112106,24444
2,4,130284,18178
2,5,141124,10840
2,6,148503,7379
2,7,154186,5683
2,8,158944,4758
2,9,162903,3959
3,1,52058,52058
3,2,99517,47459
3,3,126876,27359
3,4,144792,17916
3,5,156240,11448
3,6,165086,8846
3,7,170955,5869
3,8,176346,5391
4,1,57251,57251
4,2,106761,49510
4,3,133797,27036
4,4,154668,20871
4,5,168972,14304
4,6,179524,10552
4,7,187266,7742
5,1,59213,59213
5,2,113342,54129
5,3,142908,29566
5,4,165392,22484
5,5,179506,14114
5,6,189506,10000
6,1,59475,59475
6,2,111551,52076
6,3,138387,26836
6,4,160719,22332
6,5,175475,14756
7,1,65607,65607
7,2,110255,44648
7,3,137317,27062
7,4,159972,22655
8,1,56748,56748
8,2,96063,39315
8,3,122811,26748
9,1,52212,52212
9,2,92242,40030
10,1,43962,43962
